Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1zDJ253HHk2TBoaO6nGUxL,"M.I.L.F. $","Double Dutchess","Fergie",2017-09-22,162033,56,true,bob_varney,2025-08-11T18:57:27Z,"","BMG Rights Management (US) LLC",0.77,0.731,0,-5.083,1,0.121,0.013,0.00205,0.0165,0.713,160.965,4
spotify:track:0jGmBA9jESBGNHE9FK6mST,"I Wish You Were Dead","Sleepless Empire","Lacuna Coil",2025-02-14,172280,49,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-11T19:08:51Z,"gothic metal,metal sinfonico,rock gotico,metal","Century Media",0.475,0.78,5,-4.325,0,0.0286,0.000151,0.0000226,0.376,0.347,99.035,4
spotify:track:5pt8I0fp9O0nhdIs3GgEBo,"Experimental Skin","Revengeseekerz","Jane Remover",2025-04-04,300445,50,true,mralecolo,2025-08-11T08:17:35Z,"hyperpop","deadAir",0.405,0.902,10,-4.469,0,0.103,0.0185,0,0.21,0.46,144.585,4
spotify:track:7lARcL3Gu0wKcPcQ3t9xiF,"Queen of the Night - Radio Edit","The Bodyguard - Original Soundtrack Album","Whitney Houston",1992-11-17,188600,52,false,15ap198hsn5e4balkq3gqjv3t,2025-08-12T07:02:31Z,"","Arista",0.741,0.899,0,-7.13,1,0.0445,0.000656,0.0137,0.0991,0.757,104.895,4
spotify:track:4wH4dJgrsxONID6KS2tDQM,"Maneater","Loose","Nelly Furtado",2006-01-01,258893,83,false,bob_varney,2025-08-11T19:34:07Z,"","Mosley / Geffen",0.796,0.778,6,-4.81,1,0.0397,0.0258,0.000386,0.121,0.789,132.724,4
spotify:track:3UgSQu6WwrXfKKDq019IHE,"To Ü (feat. AlunaGeorge)","Skrillex and Diplo present Jack Ü","Jack Ü;Skrillex;Diplo;Aluna;AlunaGeorge",2015-02-24,237000,57,false,3172n4ykfida5xhdvoynxxppdkoa,2025-08-11T10:36:07Z,"dubstep,edm,electro,elettronica,moombahton","OWSLA/Mad Decent",0.485,0.928,10,-3.451,0,0.445,0.134,0.0000292,0.217,0.348,160.165,4
spotify:track:3d0WouFnFmr0K3kjeza3fF,"Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira;Wyclef Jean",2005-11-28,220360,85,false,15ap198hsn5e4balkq3gqjv3t,2025-08-12T07:01:20Z,"pop latino","Epic",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.358,0.758,100.024,4
spotify:track:4ck6UcrJEYV5ZUcJFYVyVN,"SEE U DANCE (feat. Rebecca Black)","SEE U DANCE (feat. Rebecca Black)","Joey Valence & Brae;Rebecca Black",2025-08-11,166177,48,true,mralecolo,2025-08-12T10:03:42Z,"hyperpop","JVB Entertainment/RCA Records",0.869,0.866,11,-2.095,1,0.0701,0.0284,0,0.283,0.687,119.948,4
spotify:track:3MhdQkxCOkM41Q7oPFIABJ,"Shakira: Bzrp Music Sessions, Vol. 53","Las Mujeres Ya No Lloran","Bizarrap;Shakira",2024-03-22,217133,56,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-11T19:08:38Z,"trap argentina,latin trap,urbano latino,pop latino","Sony Music Latin",0.854,0.727,2,-5.064,0,0.0377,0.292,0.0000108,0.0779,0.519,122.033,4
spotify:track:4Hff1IjRbLGeLgFgxvHflk,"DARE (feat. Shaun Ryder & Roses Gabor)","Demon Days","Gorillaz;Shaun Ryder;Roses Gabor",2005-05-23,244999,83,false,velvetvals,2025-08-12T10:26:12Z,"","Parlophone UK",0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,4
spotify:track:70eNH826mDO58WB3Zb8OR9,"Ei Raat Tomar Amar","Deep Jwele Jai (Original Motion Picture Soundtrack)","Hemant Kumar",1959-12-31,181426,24,false,bob_varney,2025-08-19T19:17:30Z,"pop bangla,ghazal,pop marathi","Saregama",0.356,0.138,1,-19.84,0,0.0332,0.925,0.466,0.138,0.391,87.769,4
spotify:track:7zaqDzUx3GyMo4NRQCZUqz,"Las Divinas","Atrévete A Soñar","Las Divinas",2009-01-01,110053,30,false,15ap198hsn5e4balkq3gqjv3t,2025-08-19T19:40:50Z,"","Universal Music Mexico",0.801,0.802,11,-4.232,0,0.146,0.157,0,0.163,0.935,111.943,4
spotify:track:2x4vosoh0XbtWgD6cqCLgh,"Montagem Nada Tropica","Montagem Nada Tropica","Eternxlkz",2025-04-18,119013,60,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-19T19:42:06Z,"phonk,phonk brasiliano","Eternxlkz",0.834,0.852,7,-4.807,1,0.0361,0.162,0.607,0.0757,0.519,120.908,4
spotify:track:6AbradIfQTsIxHO5tUGhD4,"Pega a Voga, Cabeludo","Gilberto Gil (1968)","Gilberto Gil",1968-01-01,284000,15,false,mralecolo,2025-08-23T12:56:49Z,"mpb,bossa nova,forró tradicional,samba,iazz brasiliano","Gege",0.577,0.937,0,-3.722,1,0.0481,0.15,0,0.618,0.961,135.754,4
